timeFrom,timeTo,direction,day,motorcycle,tricycle,car,lightTruck,heavyTruck,total
6,7,East to West (Straight),Friday,107,93,79,33,10,322
6,7,East to West (Straight),Monday,97,87,108,27,2,286
7,8,East to West (Straight),Friday,132,114,108,59,40,453
7,8,East to West (Straight),Monday,128,113,99,49,21,415
8,9,East to West (Straight),Friday,151,125,141,79,40,536
8,9,East to West (Straight),Monday,142,123,82,78,30,456
9,10,East to West (Straight),Friday,137,144,137,92,39,549
9,10,East to West (Straight),Monday,113,135,99,78,26,451
10,11,East to West (Straight),Friday,181,183,156,86,50,653
10,11,East to West (Straight),Monday,133,153,126,87,27,527
11,12,East to West (Straight),Friday,269,236,168,127,85,885
11,12,East to West (Straight),Monday,231,193,155,122,76,777
12,13,East to West (Straight),Friday,181,216,119,103,55,670
12,13,East to West (Straight),Monday,186,152,115,100,25,578
13,14,East to West (Straight),Friday,131,167,86,81,21,486
13,14,East to West (Straight),Monday,144,126,80,78,16,444
14,15,East to West (Straight),Friday,111,121,86,55,3,376
14,15,East to West (Straight),Monday,101,112,75,51,10,349
15,16,East to West (Straight),Friday,88,87,90,72,9,345
15,16,East to West (Straight),Monday,108,102,61,73,13,350
16,17,East to West (Straight),Friday,143,107,124,94,17,483
16,17,East to West (Straight),Monday,142,100,111,93,42,488
17,18,East to West (Straight),Friday,262,221,176,121,92,872
17,18,East to West (Straight),Monday,210,190,153,117,74,744
18,19,East to West (Straight),Friday,173,179,137,76,25,590
18,19,East to West (Straight),Monday,171,164,97,75,36,540
19,20,East to West (Straight),Friday,128,117,105,15,2,367
19,20,East to West (Straight),Monday,117,140,50,23,4,334
6,7,East to North (Right Turn to Castin N),Friday,98,87,58,40,22,308
6,7,East to North (Right Turn to Castin N),Monday,94,74,44,28,10,250
7,8,East to North (Right Turn to Castin N),Friday,151,127,78,59,59,474
7,8,East to North (Right Turn to Castin N),Monday,128,119,58,42,53,390
8,9,East to North (Right Turn to Castin N),Friday,139,119,84,76,61,479
8,9,East to North (Right Turn to Castin N),Monday,125,114,79,65,25,408
9,10,East to North (Right Turn to Castin N),Friday,152,97,90,68,62,469
9,10,East to North (Right Turn to Castin N),Monday,137,95,91,63,45,431
10,11,East to North (Right Turn to Castin N),Friday,136,119,78,61,46,440
10,11,East to North (Right Turn to Castin N),Monday,126,122,90,58,32,428
11,12,East to North (Right Turn to Castin N),Friday,188,148,110,90,62,598
11,12,East to North (Right Turn to Castin N),Monday,173,144,108,81,54,560
12,13,East to North (Right Turn to Castin N),Friday,168,117,96,70,19,470
12,13,East to North (Right Turn to Castin N),Monday,143,104,89,61,10,407
13,14,East to North (Right Turn to Castin N),Friday,143,97,80,57,38,415
13,14,East to North (Right Turn to Castin N),Monday,131,88,78,45,15,357
14,15,East to North (Right Turn to Castin N),Friday,115,88,66,46,38,353
14,15,East to North (Right Turn to Castin N),Monday,104,85,60,40,26,315
15,16,East to North (Right Turn to Castin N),Friday,117,87,84,33,39,360
15,16,East to North (Right Turn to Castin N),Monday,113,79,73,28,21,312
16,17,East to North (Right Turn to Castin N),Friday,145,108,91,39,31,414
16,17,East to North (Right Turn to Castin N),Monday,137,99,85,32,22,375
17,18,East to North (Right Turn to Castin N),Friday,237,150,126,90,84,687
17,18,East to North (Right Turn to Castin N),Monday,206,142,118,82,78,626
18,19,East to North (Right Turn to Castin N),Friday,164,96,74,42,23,399
18,19,East to North (Right Turn to Castin N),Monday,166,89,69,37,16,377
19,20,East to North (Right Turn to Castin N),Friday,125,49,66,14,7,261
19,20,East to North (Right Turn to Castin N),Monday,119,39,14,6,2,180
6,7,East to South (Left Turn to Castin S),Friday,98,93,43,17,4,255
